Date,Time,ID,TDS,Light Intensity,pH,Air Temperature,Humidity,EC,Label
2022-05-20,18:30:45,40TWL4,957,661,7.701,40,62,3.48,5
2022-05-20,18:30:50,40TWL4,839,506,7.263,32,87,2.597,5
2022-05-20,18:30:55,40TWL4,993,667,7.351,37,61,2.486,5
2022-05-20,18:31:00,40TWL4,865,612,6.883,36,19,3.451,5
2022-05-20,18:31:05,40TWL4,913,485,7.231,39,23,2.595,5
2022-05-20,18:31:10,40TWL4,797,798,7.658,31,58,2.469,5
2022-05-20,18:31:15,40TWL4,755,793,6.927,27,76,2.503,5
2022-05-20,18:31:20,40TWL4,904,787,7.559,31,94,2.099,5
2022-05-20,18:31:25,40TWL4,938,463,6.722,36,46,2.008,5
2022-05-20,18:31:30,40TWL4,852,432,7.763,24,47,3.246,5
2022-05-20,18:31:35,40TWL4,962,469,7.486,40,92,2.208,5
2022-05-20,18:31:40,40TWL4,823,612,7.876,21,87,3.045,5
2022-05-20,18:31:45,40TWL4,902,723,7.891,31,60,2.926,5
2022-05-20,18:31:50,40TWL4,816,499,7.425,37,81,3.123,5
2022-05-20,18:31:55,40TWL4,729,462,7.554,21,39,3.267,5
2022-05-20,18:32:00,40TWL4,849,747,7.665,26,83,2.368,5
2022-05-20,18:32:05,40TWL4,951,701,6.578,22,4,3.281,5
2022-05-20,18:32:10,40TWL4,935,779,6.732,30,1,2.012,5
2022-05-20,18:32:15,40TWL4,826,765,6.637,32,71,3.403,5
2022-05-20,18:32:20,40TWL4,869,505,6.707,33,43,3.405,5
2022-05-20,18:32:25,40TWL4,701,533,7.975,23,84,3.036,5
2022-05-20,18:32:30,40TWL4,916,776,6.928,34,87,3.234,5
2022-05-20,18:32:35,40TWL4,861,756,7.499,31,29,2.038,5
2022-05-20,18:32:40,40TWL4,744,716,6.737,21,46,2.436,5
2022-05-20,18:32:45,40TWL4,703,609,7.746,34,52,2.467,5
2022-05-20,18:32:50,40TWL4,796,686,7.401,25,10,2.365,5
2022-05-20,18:32:55,40TWL4,731,533,6.731,27,93,2.085,5
2022-05-20,18:33:00,40TWL4,884,644,7.377,26,24,2.428,5
2022-05-20,18:33:05,40TWL4,938,665,7.514,35,12,2.927,5
2022-05-20,18:33:10,40TWL4,898,449,6.728,32,52,3.37,5
2022-05-20,18:33:15,40TWL4,839,497,7.455,38,87,2.207,5
2022-05-20,18:33:20,40TWL4,804,490,6.591,21,25,2.564,5
2022-05-20,18:33:25,40TWL4,988,564,6.525,20,58,2.828,5
2022-05-20,18:33:30,40TWL4,924,545,6.521,20,55,2.028,5
2022-05-20,18:33:35,40TWL4,934,795,7.91,21,36,3.445,5
2022-05-20,18:33:40,40TWL4,710,576,6.589,23,47,2.741,5
2022-05-20,18:33:45,40TWL4,824,409,7.374,24,28,3.465,5
2022-05-20,18:33:50,40TWL4,943,671,7.972,22,59,2.939,5
2022-05-20,18:33:55,40TWL4,838,434,7.184,20,92,2.929,5
2022-05-20,18:34:00,40TWL4,906,733,7.879,29,83,2.799,5
2022-05-20,18:34:05,40TWL4,796,548,6.602,25,49,3.493,5
2022-05-20,18:34:10,40TWL4,898,651,7.223,35,100,2.928,5
2022-05-20,18:34:15,40TWL4,855,582,6.772,32,69,2.933,5
2022-05-20,18:34:20,40TWL4,879,626,7.15,25,93,2.438,5
2022-05-20,18:34:25,40TWL4,743,607,7.883,34,11,3.361,5
2022-05-20,18:34:30,40TWL4,897,474,6.756,20,60,2.156,5
2022-05-20,18:34:35,40TWL4,901,595,7.529,37,93,2.886,5
2022-05-20,18:34:40,40TWL4,825,545,7.461,31,81,2.66,5
2022-05-20,18:34:45,40TWL4,882,460,6.557,20,69,2.237,5
2022-05-20,18:34:50,40TWL4,958,444,7.296,20,47,3.337,5
2022-05-20,18:34:55,40TWL4,879,553,6.986,37,78,2.079,5
2022-05-20,18:35:00,40TWL4,706,528,7.266,26,19,3.319,5
2022-05-20,18:35:05,40TWL4,714,720,7.948,22,48,3.327,5
2022-05-20,18:35:10,40TWL4,865,443,7.144,20,19,2.631,5
2022-05-20,18:35:15,40TWL4,896,634,7.786,33,62,2.765,5
2022-05-20,18:35:20,40TWL4,906,434,7.349,21,58,2.731,5
2022-05-20,18:35:25,40TWL4,764,548,7.159,31,45,3.304,5
2022-05-20,18:35:30,40TWL4,957,666,7.768,30,10,3.421,5
2022-05-20,18:35:35,40TWL4,812,665,7.704,28,29,3.078,5
2022-05-20,18:35:40,40TWL4,936,649,6.515,34,32,2.939,5
2022-05-20,18:35:45,40TWL4,911,525,7.513,32,27,2.851,5
2022-05-20,18:35:50,40TWL4,854,729,7.121,31,37,2.919,5
2022-05-20,18:35:55,40TWL4,824,748,7.303,29,68,2.955,5
2022-05-20,18:36:00,40TWL4,973,421,7.895,20,33,3.256,5
2022-05-20,18:36:05,40TWL4,703,650,7.203,24,34,2.706,5
2022-05-20,18:36:10,40TWL4,932,606,7.815,34,100,3.261,5
2022-05-20,18:36:15,40TWL4,938,454,6.727,20,92,3.003,5
2022-05-20,18:36:20,40TWL4,950,725,7.16,30,4,3.278,5
2022-05-20,18:36:25,40TWL4,932,611,7.796,20,53,3.292,5
2022-05-20,18:36:30,40TWL4,840,656,6.615,40,42,3.142,5
2022-05-20,18:36:35,40TWL4,767,510,7.479,25,27,2.192,5
2022-05-20,18:36:40,40TWL4,744,722,7.139,40,91,2.61,5
2022-05-20,18:36:45,40TWL4,905,452,7.767,29,51,2.188,5
2022-05-20,18:36:50,40TWL4,952,570,7.366,27,31,2.406,5
2022-05-20,18:36:55,40TWL4,974,511,7.786,28,90,2.337,5
2022-05-20,18:37:00,40TWL4,999,752,6.834,38,52,2.79,5
2022-05-20,18:37:05,40TWL4,905,783,6.954,32,16,2.732,5
2022-05-20,18:37:10,40TWL4,931,799,7.72,24,27,2.835,5
2022-05-20,18:37:15,40TWL4,766,760,7.711,33,38,2.789,5
2022-05-20,18:37:20,40TWL4,724,695,7.528,39,79,3.483,5
2022-05-20,18:37:25,40TWL4,734,403,7.005,29,57,2.37,5
2022-05-20,18:37:30,40TWL4,759,588,7.983,38,35,2.734,5
2022-05-20,18:37:35,40TWL4,783,544,7.843,20,46,2.485,5
2022-05-20,18:37:40,40TWL4,770,403,7.308,23,29,3.449,5
2022-05-20,18:37:45,40TWL4,785,575,7.52,22,19,2.988,5
2022-05-20,18:37:50,40TWL4,772,412,7.884,39,23,2.595,5
2022-05-20,18:37:55,40TWL4,966,552,7.525,20,10,2.909,5
2022-05-20,18:38:00,40TWL4,804,466,7.475,36,74,2.738,5
2022-05-20,18:38:05,40TWL4,850,490,7.409,40,50,2.547,5
2022-05-20,18:38:10,40TWL4,864,655,7.294,26,52,3.468,5
2022-05-20,18:38:15,40TWL4,914,612,7.9,36,35,2.074,5
2022-05-20,18:38:20,40TWL4,873,687,6.677,23,82,2.183,5
