Date,Time,ID,TDS,Light Intensity,pH,Air Temperature,Humidity,EC,Label
2022-05-20,17:07:25,40TWL4,933,401,4.691,35,89,3.204,4
2022-05-20,17:07:30,40TWL4,991,702,4.806,34,95,2.833,4
2022-05-20,17:07:35,40TWL4,795,456,4.76,39,48,2.524,4
2022-05-20,17:07:40,40TWL4,820,595,5.442,31,53,3.253,4
2022-05-20,17:07:45,40TWL4,946,649,4.987,37,6,2.598,4
2022-05-20,17:07:50,40TWL4,925,418,4.36,22,78,2.705,4
2022-05-20,17:07:55,40TWL4,868,431,4.713,23,35,3.426,4
2022-05-20,17:08:00,40TWL4,787,512,5.459,32,42,2.821,4
2022-05-20,17:08:05,40TWL4,855,738,5.339,29,15,3.218,4
2022-05-20,17:08:10,40TWL4,830,770,5.498,27,59,3.493,4
2022-05-20,17:08:15,40TWL4,832,538,4.577,33,5,2.002,4
2022-05-20,17:08:20,40TWL4,757,528,4.084,29,69,2.002,4
2022-05-20,17:08:25,40TWL4,875,493,4.157,21,5,2.12,4
2022-05-20,17:08:30,40TWL4,804,621,4.441,39,52,2.375,4
2022-05-20,17:08:35,40TWL4,784,783,4.46,33,39,3.238,4
2022-05-20,17:08:40,40TWL4,972,656,5.152,29,77,3.283,4
2022-05-20,17:08:45,40TWL4,986,667,4.469,33,85,3.341,4
2022-05-20,17:08:50,40TWL4,831,600,4.076,29,51,2.286,4
2022-05-20,17:08:55,40TWL4,904,767,4.735,38,12,3.131,4
2022-05-20,17:09:00,40TWL4,985,795,4.149,26,23,2.388,4
2022-05-20,17:09:05,40TWL4,759,508,4.358,36,52,2.859,4
2022-05-20,17:09:10,40TWL4,987,750,4.321,23,80,2.883,4
2022-05-20,17:09:15,40TWL4,792,522,4.787,32,88,3.206,4
2022-05-20,17:09:20,40TWL4,969,516,4.485,30,54,3.384,4
2022-05-20,17:09:25,40TWL4,713,711,5.03,35,83,2.682,4
2022-05-20,17:09:30,40TWL4,809,617,5.467,22,38,3.226,4
2022-05-20,17:09:35,40TWL4,855,434,5.208,30,32,3.299,4
2022-05-20,17:09:40,40TWL4,985,524,4.313,22,68,2.739,4
2022-05-20,17:09:45,40TWL4,955,550,5.454,31,38,2.665,4
2022-05-20,17:09:50,40TWL4,807,546,4.788,28,29,2.321,4
2022-05-20,17:09:55,40TWL4,847,669,4.936,22,19,2.533,4
2022-05-20,17:10:00,40TWL4,918,605,5.355,32,24,2.157,4
2022-05-20,17:10:05,40TWL4,912,592,4.888,21,17,2.023,4
2022-05-20,17:10:10,40TWL4,840,540,4.248,40,47,3.481,4
2022-05-20,17:10:15,40TWL4,890,776,4.801,29,48,2.692,4
2022-05-20,17:10:20,40TWL4,805,669,4.195,22,98,3.32,4
2022-05-20,17:10:25,40TWL4,945,584,4.292,30,91,2.146,4
2022-05-20,17:10:30,40TWL4,895,401,4.18,39,59,2.892,4
2022-05-20,17:10:35,40TWL4,865,426,5.054,34,10,2.493,4
2022-05-20,17:10:40,40TWL4,804,602,4.719,37,67,2.88,4
2022-05-20,17:10:45,40TWL4,729,692,4.596,29,34,2.516,4
2022-05-20,17:10:50,40TWL4,806,708,4.986,32,59,3.359,4
2022-05-20,17:10:55,40TWL4,700,424,5.041,24,95,2.446,4
2022-05-20,17:11:00,40TWL4,989,701,4.85,27,34,2.596,4
2022-05-20,17:11:05,40TWL4,765,450,5.466,37,34,2.955,4
