Date,Time,ID,TDS,Light Intensity,pH,Air Temperature,Humidity,EC,Label
2022-05-20,12:57:25,GL5AYT,1121,525,6.23,22,84,3.35,1
2022-05-20,12:57:30,GL5AYT,1054,676,5.937,22,43,3.323,1
2022-05-20,12:57:35,GL5AYT,1007,759,6.079,26,21,2.227,1
2022-05-20,12:57:40,GL5AYT,1240,674,6.44,36,53,3.319,1
2022-05-20,12:57:45,GL5AYT,1165,518,6.45,23,100,2.58,1
2022-05-20,12:57:50,GL5AYT,1375,535,5.693,40,11,3.05,1
2022-05-20,12:57:55,GL5AYT,1186,778,5.585,39,8,3.41,1
2022-05-20,12:58:00,GL5AYT,1342,481,5.798,22,49,3.127,1
2022-05-20,12:58:05,GL5AYT,1148,691,5.952,29,50,2.047,1
2022-05-20,12:58:10,GL5AYT,1271,783,6.198,22,49,2.362,1
2022-05-20,12:58:15,GL5AYT,1182,423,5.624,34,39,2.427,1
2022-05-20,12:58:20,GL5AYT,1241,420,6.089,20,97,2.574,1
2022-05-20,12:58:25,GL5AYT,1272,454,5.818,23,71,2.716,1
2022-05-20,12:58:30,GL5AYT,1391,678,5.539,33,13,2.58,1
2022-05-20,12:58:35,GL5AYT,1126,617,6.406,29,3,3.349,1
2022-05-20,12:58:40,GL5AYT,1392,565,6.311,29,86,2.098,1
2022-05-20,12:58:45,GL5AYT,1020,651,6.236,33,62,2.955,1
2022-05-20,12:58:50,GL5AYT,1227,729,6.005,30,37,2.328,1
2022-05-20,12:58:55,GL5AYT,1067,687,5.782,26,35,3.2,1
2022-05-20,12:59:00,GL5AYT,1031,674,6.064,39,100,2.605,1
2022-05-20,12:59:05,GL5AYT,1059,435,5.98,35,52,2.427,1
2022-05-20,12:59:10,GL5AYT,1302,662,6.054,38,14,3.153,1
2022-05-20,12:59:15,GL5AYT,1136,679,6.096,29,23,2.166,1
2022-05-20,12:59:20,GL5AYT,1398,669,5.791,28,84,2.166,1
2022-05-20,12:59:25,GL5AYT,1236,407,6.099,25,26,3.099,1
