Date,Time,ID,TDS,Light Intensity,pH,Air Temperature,Humidity,EC,Label
2022-05-20,05:37:25,GL5AYT,713,977,6.786,24,33,2.578,13
2022-05-20,05:37:30,GL5AYT,745,857,7.142,39,67,2.349,13
2022-05-20,05:37:35,GL5AYT,819,980,6.66,33,87,3.497,13
2022-05-20,05:37:40,GL5AYT,767,866,7.407,39,80,2.058,13
2022-05-20,05:37:45,GL5AYT,798,844,7.355,20,20,2.447,13
2022-05-20,05:37:50,GL5AYT,834,930,7.959,35,92,3.147,13
2022-05-20,05:37:55,GL5AYT,815,936,7.277,30,75,2.087,13
2022-05-20,05:38:00,GL5AYT,993,940,7.296,22,49,2.533,13
2022-05-20,05:38:05,GL5AYT,771,804,7.898,21,87,3.489,13
2022-05-20,05:38:10,GL5AYT,799,842,7.253,27,24,3.486,13
2022-05-20,05:38:15,GL5AYT,865,905,7.471,38,4,2.845,13
2022-05-20,05:38:20,GL5AYT,937,900,6.51,24,74,3.209,13
2022-05-20,05:38:25,GL5AYT,974,901,6.774,37,77,2.884,13
2022-05-20,05:38:30,GL5AYT,726,813,6.678,24,35,3.103,13
2022-05-20,05:38:35,GL5AYT,945,887,6.557,38,75,3.142,13
2022-05-20,05:38:40,GL5AYT,777,869,7.023,26,77,2.664,13
2022-05-20,05:38:45,GL5AYT,865,840,7.167,34,45,2.31,13
2022-05-20,05:38:50,GL5AYT,735,869,7.331,37,81,2.87,13
2022-05-20,05:38:55,GL5AYT,946,997,7.097,36,87,2.95,13
2022-05-20,05:39:00,GL5AYT,753,802,6.738,36,37,2.6,13
2022-05-20,05:39:05,GL5AYT,739,905,6.987,26,17,2.689,13
2022-05-20,05:39:10,GL5AYT,725,930,6.866,39,81,2.098,13
2022-05-20,05:39:15,GL5AYT,967,809,7.803,35,68,2.707,13
2022-05-20,05:39:20,GL5AYT,821,845,6.535,30,9,3.492,13
2022-05-20,05:39:25,GL5AYT,904,827,6.76,28,10,3.098,13
2022-05-20,05:39:30,GL5AYT,856,923,7.992,35,34,2.513,13
2022-05-20,05:39:35,GL5AYT,749,836,6.536,32,18,2.052,13
2022-05-20,05:39:40,GL5AYT,751,956,7.274,33,43,2.741,13
2022-05-20,05:39:45,GL5AYT,808,967,7.065,25,21,2.273,13
2022-05-20,05:39:50,GL5AYT,955,876,6.852,33,85,3.219,13
2022-05-20,05:39:55,GL5AYT,887,809,7.683,40,23,3.353,13
2022-05-20,05:40:00,GL5AYT,891,957,7.382,40,56,2.196,13
2022-05-20,05:40:05,GL5AYT,848,962,6.766,29,17,2.491,13
2022-05-20,05:40:10,GL5AYT,735,871,7.29,25,21,2.049,13
2022-05-20,05:40:15,GL5AYT,784,913,7.882,38,26,2.679,13
2022-05-20,05:40:20,GL5AYT,742,949,6.949,24,65,2.698,13
2022-05-20,05:40:25,GL5AYT,724,910,7.674,32,48,2.496,13
2022-05-20,05:40:30,GL5AYT,787,927,7.672,21,86,2.536,13
2022-05-20,05:40:35,GL5AYT,866,962,7.969,24,38,2.842,13
2022-05-20,05:40:40,GL5AYT,751,945,6.538,27,76,2.276,13
2022-05-20,05:40:45,GL5AYT,834,838,7.391,36,1,2.791,13
2022-05-20,05:40:50,GL5AYT,841,917,7.315,38,16,2.471,13
2022-05-20,05:40:55,GL5AYT,720,843,7.971,27,74,2.285,13
2022-05-20,05:41:00,GL5AYT,934,920,6.98,38,6,3.303,13
2022-05-20,05:41:05,GL5AYT,882,809,7.044,31,91,2.664,13
2022-05-20,05:41:10,GL5AYT,868,862,7.022,40,83,2.739,13
2022-05-20,05:41:15,GL5AYT,709,833,6.899,30,44,3.437,13
2022-05-20,05:41:20,GL5AYT,708,985,6.949,24,85,2.056,13
